Rho	T	coordinate	section	type	//
5.734963E-13	1.049810E+06	1.195000E+07	1.000000E+00	0.000000E+00
5.729082E-13	1.050452E+06	1.200000E+07	1.000000E+00	0.000000E+00
5.723358E-13	1.051081E+06	1.205000E+07	1.000000E+00	0.000000E+00
5.717791E-13	1.051696E+06	1.210000E+07	1.000000E+00	0.000000E+00
5.712380E-13	1.052296E+06	1.215000E+07	1.000000E+00	0.000000E+00
5.707125E-13	1.052882E+06	1.220000E+07	1.000000E+00	0.000000E+00
5.702028E-13	1.053454E+06	1.225000E+07	1.000000E+00	0.000000E+00
5.697087E-13	1.054011E+06	1.230000E+07	1.000000E+00	0.000000E+00
5.692303E-13	1.054555E+06	1.235000E+07	1.000000E+00	0.000000E+00
5.687675E-13	1.055084E+06	1.240000E+07	1.000000E+00	0.000000E+00
5.683204E-13	1.055599E+06	1.245000E+07	1.000000E+00	0.000000E+00
5.678890E-13	1.056100E+06	1.250000E+07	1.000000E+00	0.000000E+00
